,distance,patent_number
6840,0.0,9766620
14520,0.0,10146375
6835,0.0,9767286
14525,0.0,10143020
6825,0.0,9768501
14530,0.0,10142019
14535,0.0,9648448
14536,0.0,10136292
6820,0.0,9768796
14537,0.0,9768831
6817,0.0,10177825
6816,0.0,9768841
6815,0.0,9479233
14540,0.0,10135528
14545,0.0,9536452
6865,0.0,9763074
14546,0.0,10130548
6870,0.0,9763046
14500,0.0,10150425
6910,0.0,9888300
14468,0.0,10019725
14469,0.0,9741052
14470,0.0,10160399
6905,0.0,9756598
6904,0.0,9642527
6903,0.0,9888852
6902,0.0,9931035
6901,0.0,9888851
6900,0.0,9895061
14475,0.0,10159530
14476,0.0,10278777
14477,0.0,9980780
6895,0.0,9761241
14478,0.0,9861446
14479,0.0,10292768
14480,0.0,10158626
14481,0.0,10044707
14485,0.0,10158426
14490,0.0,10157533
6885,0.0,9762189
14495,0.0,9905543
14496,0.0,10153260
6881,0.0,10097195
6880,0.0,9762256
6875,0.0,9763044
6811,0.0,9477949
6810,0.0,9769243
6805,0.0,9772193
6761,0.0,9888851
6760,0.0,9895061
6759,0.0,9642527
6758,0.0,9888852
6757,0.0,9931035
6756,0.0,9888851
6755,0.0,9895061
14570,0.0,10122454
14571,0.0,10027410
6750,0.0,9785606
14580,0.0,10121299
14581,0.0,9984521
14582,0.0,10297096
6745,0.0,9786985
14585,0.0,10121032
14590,0.0,9997001
14591,0.0,10115254
6740,0.0,9787350
14592,0.0,9424699
6735,0.0,9787371
6731,0.0,9788117
6730,0.0,10104474
14593,0.0,9858741
14594,0.0,9466163
14595,0.0,10013831
6762,0.0,9931035
6763,0.0,9888852
6764,0.0,9642527
6765,0.0,9781764
14547,0.0,10016334
14550,0.0,10129965
14551,0.0,9338864
6801,0.0,9491033
6800,0.0,9774998
14555,0.0,10068244
6796,0.0,9775170
6795,0.0,10194461
6794,0.0,9642527
6793,0.0,9888852
6792,0.0,9931035
6791,0.0,9888851
14765,0.0,10007929
6790,0.0,9895061
6788,0.0,9888852
6787,0.0,9931035
6786,0.0,9888851
6785,0.0,9895061
14556,0.0,10127571
6782,0.0,9747788
6781,0.0,9626862
6780,0.0,9779619
14560,0.0,10127434
6775,0.0,9781659
6770,0.0,9781701
14565,0.0,10126827
6789,0.0,9642527
6147,0.0,9756402
14766,0.0,8924255
14770,0.0,10003174
6285,0.0,9866293
14975,0.0,10339557
6280,0.0,9866990
14976,0.0,9558504
14977,0.0,10339557
14978,0.0,10019725
14979,0.0,9741052
6275,0.0,9867221
14980,0.0,9738384
14985,0.0,9729644
6271,0.0,9871776
6270,0.0,9871776
6265,0.0,9872128
14990,0.0,9724588
14995,0.0,9716214
